District Code	Mean Scale Score	Percentage Advanced	Percentage Proficient	Percentage Basic	Percentage Below Basic	Percentage Far Below Basic
0	377.4	30	33	22	16	0
0	355.9	25	27	30	15	2
0	383.4	29	34	22	14	0
0	376.0	28	36	17	16	2
0	353.8	27	29	26	14	3
0	355.6	23	29	32	10	5
0	387.2	34	32	23	9	3
0	355.4	24	30	18	20	8
0	352.6	15	34	36	13	2
0	340.2	13	29	35	20	3
0	327.6	8	28	29	26	9
0	409.5	50	25	14	8	3
0	378.8	36	32	19	8	5
0	369.3	30	32	26	8	4
0	426.2	53	25	14	7	1
0	412.7	54	25	14	5	1
0	398.1	56	25	14	4	2
0	383.5	42	36	17	4	2
0	411.5	41	33	16	9	2
0	391.6	38	37	17	5	3
0	384.4	32	34	22	10	2
0	379.7	38	36	20	4	1
0	379.7	34	38	21	5	2
0	438.6	55	34	8	3	0
0	375.6	26	37	25	9	2
0	*	*	*	*	*	*
0	330.4	7	29	34	20	10
0	428.0	54	34	10	1	0
0	437.0	62	12	18	5	3
0	371.5	35	26	25	7	7
0	405.9	50	23	16	6	5
0	365.2	19	37	25	16	4
0	379.1	40	30	22	5	3
0	326.2	6	27	29	29	9
0	*	*	*	*	*	*
0	*	*	*	*	*	*
0	368.1	33	27	23	7	11
0	344.5	16	29	40	10	6
0	331.4	5	28	49	11	7
0	335.7	11	27	39	12	10
0	377.2	39	30	24	5	2
0	373.2	34	33	27	4	2
0	373.5	33	36	20	7	3
0	395.0	39	30	19	8	3
0	351.8	13	35	31	17	3
0	308.6	4	18	30	27	21
0	254.9	0	17	0	17	67
0	462.8	68	29	3	0	0
0	398.5	38	38	17	6	1
0	300.4	1	17	27	43	13
0	253.3	0	0	9	36	55
0	360.7	27	28	29	9	8
0	304.6	2	15	33	39	11
0	339.2	13	27	31	20	9
0	358.4	29	28	27	9	6
0	347.0	17	28	36	10	8
0	*	*	*	*	*	*
0	353.4	19	32	36	9	4
0	342.2	15	31	34	9	11
0	316.5	3	20	44	14	18
0	347.2	16	30	38	10	6
0	355.7	24	27	27	8	13
0	*	*	*	*	*	*
0	*	*	*	*	*	*
0	296.1	1	12	28	40	19
0	286.2	1	9	21	45	24
0	*	*	*	*	*	*
0	305.6	3	6	53	12	26
0	295.8	10	14	22	12	43
0	357.0	24	32	32	8	5
0	317.4	1	29	35	14	21
0	335.8	11	30	35	12	12
0	329.6	10	21	40	17	12
0	*	*	*	*	*	*
0	368.2	32	28	27	7	6
0	353.8	27	26	27	11	9
0	357.9	25	30	23	10	12
0	298.1	2	13	31	33	22
0	282.2	0	6	24	50	20
0	269.2	0	0	21	53	26
0	288.0	0	10	23	49	18
0	348.5	17	31	25	21	5
0	290.8	0	12	24	47	17
0	263.3	0	0	17	47	37
0	355.8	20	32	24	19	5
0	325.9	10	21	30	25	14
0	326.9	9	23	30	30	9
0	325.2	6	26	33	22	13
0	345.2	14	30	26	23	8
0	361.7	27	30	30	7	5
0	*	*	*	*	*	*
0	341.6	15	26	38	13	8
0	337.0	12	29	37	12	11
0	305.8	2	7	51	12	27
0	350.8	20	31	36	9	5
0	305.5	0	6	61	22	11
0	324.3	4	27	44	13	13
0	355.5	25	27	27	8	14
0	319.9	12	22	26	32	8
0	329.6	8	31	24	32	5
0	334.5	11	31	28	22	8
0	340.2	19	24	24	25	9
0	346.6	25	21	27	25	2
0	341.3	15	28	26	27	4
0	359.0	20	38	25	15	2
0	328.3	11	30	23	26	10
0	331.0	19	23	22	27	9
0	331.0	17	23	24	27	9
0	314.8	10	23	23	26	17
0	336.9	13	30	30	18	9
0	326.7	14	22	25	26	12
0	35.1	0	0	0	0	0
0	36.0	0	0	0	0	0
0	35.6	0	0	0	0	0
0	36.1	0	0	0	0	0
0	36.8	0	0	0	0	0
0	39.6	0	0	0	0	0
0	38.1	0	0	0	0	0
0	38.2	0	0	0	0	0
0	38.2	0	0	0	0	0
0	38.4	0	0	0	0	0
0	34.8	0	0	0	0	0
0	35.3	0	0	0	0	0
0	36.8	0	0	0	0	0
0	35.2	0	0	0	0	0
0	407.3	54	29	12	3	2
0	446.4	67	20	8	4	1
0	461.5	67	20	9	3	1
0	390.2	41	33	20	4	1
0	410.0	63	23	11	2	1
0	432.4	63	23	10	3	0
0	434.4	51	29	12	6	1
0	401.8	44	35	15	3	2
0	392.8	48	34	14	3	1
0	387.0	45	33	18	4	1
0	397.2	39	33	19	8	1
0	388.8	32	37	22	7	2
0	391.3	42	36	17	3	1
0	469.2	69	24	5	1	1
0	380.4	25	39	21	13	2
0	522.8	100	0	0	0	0
0	389.4	45	25	20	6	5
0	392.4	49	27	17	4	2
0	332.8	6	33	34	19	8
0	452.0	67	26	7	0	0
0	425.8	58	19	13	5	4
0	319.9	0	10	76	14	0
0	379.6	40	32	19	9	0
0	382.0	40	33	23	3	1
0	352.9	15	33	32	18	3
0	306.1	3	16	35	29	18
0	467.8	80	20	0	0	0
0	380.3	38	37	18	5	2
0	400.6	42	29	19	9	1
0	328.0	5	29	31	28	7
0	335.4	10	28	40	12	10
0	385.4	40	27	24	3	6
0	353.9	19	33	38	6	4
0	367.6	29	29	29	7	6
0	359.8	27	27	30	12	3
0	363.3	28	27	27	7	11
0	346.8	17	37	27	10	9
0	*	*	*	*	*	*
0	302.7	1	14	32	38	15
0	343.7	17	25	29	21	8
0	366.4	34	29	26	8	4
0	410.4	46	33	15	5	1
0	304.0	0	22	22	46	10
0	307.2	3	15	34	38	11
0	350.4	17	29	39	8	6
0	*	*	*	*	*	*
0	365.8	28	31	31	7	3
0	*	*	*	*	*	*
0	318.9	0	25	44	19	13
0	331.8	12	20	41	17	10
0	*	*	*	*	*	*
0	*	*	*	*	*	*
0	375.8	36	31	24	5	5
0	287.1	0	7	29	47	16
0	287.1	0	7	24	58	10
0	355.7	21	31	22	20	6
0	364.3	28	30	22	10	9
0	299.3	3	12	30	32	22
0	288.4	0	12	21	46	21
0	361.6	30	30	25	9	7
0	338.6	8	33	37	13	9
0	307.1	15	15	15	13	40
0	361.0	27	31	30	6	6
0	357.5	23	31	34	7	4
0	*	*	*	*	*	*
0	364.5	29	27	26	6	11
0	335.7	16	20	28	23	13
0	325.2	5	28	34	22	11
0	361.4	20	31	24	20	6
0	*	*	*	*	*	*
0	292.6	0	12	24	54	10
0	337.7	13	23	30	27	7
0	368.0	27	31	20	17	5
0	349.0	20	25	36	12	7
0	367.5	29	31	30	6	4
0	*	*	*	*	*	*
0	318.9	0	15	63	17	5
0	337.6	10	30	38	12	10
0	320.5	0	30	40	20	10
0	326.9	13	13	47	27	0
0	366.6	35	21	14	26	5
0	373.7	19	38	30	14	0
0	360.9	18	46	25	9	2
0	376.3	31	24	24	20	2
0	370.9	39	24	22	12	3
0	340.8	20	27	23	25	5
0	355.2	10	53	15	15	7
0	333.1	14	26	30	16	14
0	333.0	19	17	31	25	8
0	329.4	13	21	29	31	6
0	346.6	19	21	40	17	2
0	36.6	0	0	0	0	0
0	*	*	*	*	*	*
0	36.8	0	0	0	0	0
0	*	*	*	*	*	*
0	*	*	*	*	*	*
0	39.9	0	0	0	0	0
0	*	*	*	*	*	*
0	37.8	0	0	0	0	0
0	*	*	*	*	*	*
0	*	*	*	*	*	*
0	34.8	0	0	0	0	0
0	*	*	*	*	*	*
0	*	*	*	*	*	*
0	*	*	*	*	*	*
0	390.7	36	47	14	2	2
0	424.7	54	32	11	3	0
0	462.5	70	22	6	1	0
0	389.4	37	42	19	1	0
0	409.1	64	29	6	0	0
0	439.6	70	23	6	1	0
0	428.7	46	37	13	4	0
0	387.6	40	46	13	1	0
0	387.9	31	46	20	2	1
0	376.1	29	46	23	1	0
0	383.8	29	40	24	6	1
0	374.2	23	41	28	7	1
0	370.2	22	47	27	3	1
0	425.1	48	37	10	5	0
0	357.9	15	37	29	16	3
0	365.3	28	30	31	7	4
0	369.6	28	38	29	4	1
0	*	*	*	*	*	*
0	410.5	42	39	15	4	0
0	392.1	42	28	21	7	3
0	*	*	*	*	*	*
0	342.8	7	36	39	15	3
0	327.3	4	28	42	20	6
0	*	*	*	*	*	*
0	333.7	2	30	60	5	4
0	333.8	10	23	45	14	7
0	354.6	23	27	29	11	10
0	357.4	19	35	38	5	2
0	387.8	41	31	21	3	3
0	334.7	8	27	45	12	8
0	334.3	8	28	35	25	4
0	379.4	32	31	21	13	4
0	456.5	60	40	0	0	0
0	364.1	20	45	29	5	2
0	326.2	4	28	32	29	6
0	305.0	1	16	34	38	12
0	352.0	19	32	37	8	3
0	373.3	25	38	24	11	2
0	330.8	10	25	31	23	11
0	299.1	1	11	33	44	10
0	336.3	9	29	44	10	8
0	*	*	*	*	*	*
0	339.8	12	27	43	12	6
0	339.2	11	27	45	11	7
0	*	*	*	*	*	*
0	346.8	18	27	32	11	12
0	349.4	18	28	38	10	6
0	334.0	9	26	46	13	6
0	*	*	*	*	*	*
0	319.3	3	13	60	20	3
0	*	*	*	*	*	*
0	297.3	0	11	30	44	14
0	290.9	0	10	26	47	16
0	*	*	*	*	*	*
0	298.2	0	13	33	20	34
0	345.1	16	29	41	8	6
0	293.8	6	11	28	11	43
0	*	*	*	*	*	*
0	354.2	22	28	37	7	6
0	319.6	6	18	41	21	14
0	270.9	0	0	18	64	18
0	329.8	5	29	45	11	11
0	282.9	0	6	24	53	18
0	297.2	1	13	31	34	21
0	331.8	11	27	30	25	7
0	291.9	1	11	26	44	19
0	345.8	17	29	37	11	6
0	349.6	18	31	30	12	9
0	342.4	11	30	30	23	6
0	317.6	7	20	30	28	15
0	337.3	13	28	29	24	6
0	339.5	6	34	40	16	3
0	328.5	9	22	42	17	11
0	333.6	7	28	45	11	9
0	262.4	0	0	14	57	29
0	349.2	16	30	41	8	5
0	292.3	0	11	27	47	16
0	346.3	18	26	32	11	13
0	339.3	13	26	43	11	6
0	296.5	0	0	55	18	27
0	*	*	*	*	*	*
0	321.8	1	23	52	11	12
0	*	*	*	*	*	*
0	314.7	5	18	31	37	9
0	*	*	*	*	*	*
0	*	*	*	*	*	*
0	*	*	*	*	*	*
0	*	*	*	*	*	*
0	*	*	*	*	*	*
0	*	*	*	*	*	*
0	*	*	*	*	*	*
0	354.0	28	28	28	11	6
0	373.2	17	56	11	17	0
0	355.4	16	40	20	16	8
0	345.7	25	20	25	20	10
0	350.9	21	31	21	14	14
0	358.1	22	25	42	11	0
0	*	*	*	*	*	*
0	*	*	*	*	*	*
0	34.5	0	0	0	0	0
0	43.7	0	0	0	0	0
0	*	*	*	*	*	*
0	*	*	*	*	*	*
0	41.5	0	0	0	0	0
0	37.6	0	0	0	0	0
0	38.4	0	0	0	0	0
0	*	*	*	*	*	*
0	*	*	*	*	*	*
0	42.1	0	0	0	0	0
0	36.9	0	0	0	0	0
0	332.4	12	26	27	28	7
0	314.9	4	19	38	24	15
0	308.1	5	12	41	27	15
0	353.5	20	28	31	19	3
0	330.8	12	24	35	16	13
0	355.8	24	29	28	16	4
0	326.4	6	29	36	17	13
0	343.5	15	29	21	26	9
0	320.0	6	20	40	16	17
0	338.6	12	28	30	21	9
0	332.1	11	28	32	17	12
0	326.9	5	31	33	19	12
0	334.5	8	27	39	20	6
0	*	*	*	*	*	*
0	316.9	14	18	24	18	25
0	321.0	11	21	28	25	15
0	306.8	4	17	30	28	21
0	308.3	8	13	31	22	26
0	334.9	9	28	29	27	6
0	318.4	7	23	24	32	14
0	*	*	*	*	*	*
0	287.1	2	7	22	42	27
0	318.0	6	22	36	21	15
0	*	*	*	*	*	*
0	299.0	0	7	40	37	17
0	*	*	*	*	*	*
0	324.3	6	34	19	28	13
0	331.3	9	22	41	15	12
0	294.0	0	19	26	17	38
0	309.1	10	13	31	9	37
0	*	*	*	*	*	*
0	309.7	6	14	34	18	28
0	312.4	3	14	42	21	21
0	*	*	*	*	*	*
0	296.0	1	11	31	45	13
0	*	*	*	*	*	*
0	327.7	13	13	46	15	13
0	311.4	0	18	38	38	6
0	*	*	*	*	*	*
0	305.8	8	15	28	23	26
0	323.9	0	34	31	31	3
0	286.4	1	10	17	46	25
0	287.5	2	0	29	56	13
0	315.1	9	21	23	19	27
0	305.4	2	15	35	35	13
0	303.4	7	16	25	27	25
0	*	*	*	*	*	*
0	*	*	*	*	*	*
0	304.5	2	11	42	11	33
0	310.8	0	12	44	37	7
0	340.3	11	37	26	21	5
0	281.3	0	4	29	50	17
0	*	*	*	*	*	*
0	334.3	12	15	48	12	12
0	333.1	6	33	39	17	6
0	279.7	0	0	27	27	45
0	324.4	4	29	33	25	8
0	*	*	*	*	*	*
0	305.0	8	14	30	11	38
0	346.7	14	36	27	18	5
0	*	*	*	*	*	*
0	300.3	3	14	27	32	23
0	297.5	2	13	28	43	14
0	325.7	7	19	43	16	15
0	319.4	6	12	46	26	10
0	*	*	*	*	*	*
0	305.1	1	12	40	27	20
0	310.3	1	22	31	33	12
0	314.3	6	20	25	36	14
0	*	*	*	*	*	*
0	*	*	*	*	*	*
0	328.6	14	27	18	36	5
0	313.3	12	12	29	41	6
0	320.1	0	25	44	31	0
0	333.7	20	7	33	33	7
0	338.0	25	17	17	42	0
0	*	*	*	*	*	*
0	316.3	9	18	18	45	9
0	325.2	7	33	27	20	13
0	303.4	0	29	24	41	6
0	339.1	15	23	46	8	8
0	324.2	0	38	31	15	15
0	*	*	*	*	*	*
0	*	*	*	*	*	*
0	*	*	*	*	*	*
0	*	*	*	*	*	*
0	*	*	*	*	*	*
0	*	*	*	*	*	*
0	*	*	*	*	*	*
0	*	*	*	*	*	*
0	*	*	*	*	*	*
0	*	*	*	*	*	*
0	*	*	*	*	*	*
0	*	*	*	*	*	*
0	*	*	*	*	*	*
0	*	*	*	*	*	*
0	336.6	13	25	31	31	0
0	327.2	6	13	69	13	0
0	358.5	21	37	37	5	0
0	413.7	35	53	12	0	0
0	358.3	23	31	15	23	8
0	333.8	15	31	31	0	23
0	321.8	0	25	44	31	0
0	335.4	13	13	56	13	6
0	343.7	18	36	9	27	9
0	358.6	18	27	45	9	0
0	*	*	*	*	*	*
0	*	*	*	*	*	*
0	394.1	42	31	18	6	2
0	426.7	57	27	12	5	0
0	463.0	70	20	8	3	0
0	389.5	42	31	20	5	2
0	423.8	73	18	7	1	0
0	454.2	77	17	5	1	0
